id,churn_probability
69999,1
70000,1
70001,0
70002,1
70003,0
70004,1
70005,1
70006,1
70007,0
70008,1
70009,1
70010,0
70011,0
70012,1
70013,1
70014,0
70015,0
70016,1
70017,0
70018,1
70019,1
70020,1
70021,1
70022,0
70023,0
70024,1
70025,0
70026,0
70027,0
70028,0
70029,0
70030,1
70031,0
70032,1
70033,0
70034,0
70035,1
70036,0
70037,0
70038,0
70039,0
70040,0
70041,1
70042,0
70043,0
70044,0
70045,0
70046,1
70047,0
70048,1
70049,1
70050,1
70051,0
70052,0
70053,0
70054,1
70055,0
70056,0
70057,1
70058,0
70059,1
70060,1
70061,0
70062,0
70063,0
70064,1
70065,0
70066,0
70067,1
70068,1
70069,1
70070,0
70071,1
70072,1
70073,1
70074,1
70075,1
70076,1
70077,0
70078,1
70079,1
70080,1
70081,1
70082,0
70083,0
70084,1
70085,1
70086,0
70087,0
70088,0
70089,1
70090,0
70091,1
70092,0
70093,1
70094,0
70095,0
70096,1
70097,0
70098,1
70099,1
70100,1
70101,0
70102,0
70103,1
70104,0
70105,1
70106,1
70107,1
70108,1
70109,1
70110,0
70111,1
70112,0
70113,1
70114,1
70115,1
70116,0
70117,1
70118,1
70119,1
70120,1
70121,0
70122,1
70123,1
70124,1
70125,1
70126,1
70127,1
70128,1
70129,1
70130,1
70131,1
70132,1
70133,1
70134,0
70135,1
70136,1
70137,1
70138,1
70139,1
70140,1
70141,0
70142,0
70143,1
70144,1
70145,1
70146,0
70147,0
70148,1
70149,0
70150,0
70151,0
70152,1
70153,1
70154,0
70155,1
70156,0
70157,0
70158,1
70159,0
70160,0
70161,0
70162,1
70163,1
70164,1
70165,1
70166,0
70167,1
70168,0
70169,0
70170,1
70171,1
70172,0
70173,0
70174,1
70175,0
70176,1
70177,1
70178,1
70179,1
70180,1
70181,1
70182,0
70183,1
70184,1
70185,0
70186,0
70187,0
70188,0
70189,1
70190,0
70191,0
70192,0
70193,1
70194,0
70195,1
70196,0
70197,1
70198,0
70199,0
70200,1
70201,1
70202,1
70203,0
70204,1
70205,1
70206,0
70207,1
70208,1
70209,0
70210,1
70211,0
70212,1
70213,0
70214,1
70215,0
70216,1
70217,0
70218,0
70219,0
70220,1
70221,0
70222,0
70223,1
70224,1
70225,1
70226,1
70227,1
70228,0
70229,1
70230,1
70231,1
70232,1
70233,1
70234,0
70235,0
70236,0
70237,1
70238,0
70239,1
70240,0
70241,1
70242,0
70243,0
70244,1
70245,1
70246,0
70247,0
70248,1
70249,1
70250,1
70251,1
70252,0
70253,1
70254,0
70255,0
70256,0
70257,1
70258,1
70259,1
70260,1
70261,1
70262,0
70263,0
70264,0
70265,0
70266,0
70267,1
70268,1
70269,1
70270,0
70271,1
70272,1
70273,1
70274,1
70275,1
70276,1
70277,0
70278,0
70279,0
70280,1
70281,1
70282,1
70283,1
70284,1
70285,0
70286,0
70287,0
70288,1
70289,1
70290,0
70291,0
70292,0
70293,0
70294,0
70295,0
70296,0
70297,0
70298,1
70299,0
70300,1
70301,1
70302,1
70303,0
70304,0
70305,0
70306,1
70307,1
70308,0
70309,1
70310,0
70311,1
70312,0
70313,1
70314,1
70315,1
70316,1
70317,0
70318,0
70319,1
70320,1
70321,1
70322,0
70323,0
70324,0
70325,0
70326,1
70327,0
70328,1
70329,1
70330,0
70331,1
70332,1
70333,0
70334,1
70335,1
70336,0
70337,1
70338,1
70339,1
70340,1
70341,1
70342,0
70343,0
70344,0
70345,0
70346,1
70347,0
70348,0
70349,1
70350,1
70351,1
70352,0
70353,1
70354,1
70355,0
70356,1
70357,1
70358,1
70359,1
70360,0
70361,1
70362,1
70363,1
70364,1
70365,1
70366,0
70367,0
70368,0
70369,1
70370,1
70371,1
70372,0
70373,1
70374,1
70375,1
70376,1
70377,0
70378,1
70379,1
70380,1
70381,1
70382,0
